feature,min,max,std
exit_code,-99.0,1.0,33.71218155823165
execution_time_ms,0.0,3266.0,977.648832796058
peak_memory_mb,0.0,0.0,0.0
uniq_map_create,0.0,0.0,0.0
uniq_map_trans,0.0,0.0,0.0
uniq_ic_states,0.0,0.0,0.0
uniq_elem_kind,0.0,0.0,0.0
proto_invalidated,0.0,0.0,0.0
gc_minor,0.0,338.0,27.59276571291691
gc_major,0.0,166.0,21.83407550040915
opt_attempts,0.0,63.0,8.56834913843062
opt_success,0.0,61.0,8.375834616624056
opt_marked,0.0,14.0,2.349574421080178
deopt_all,0.0,2234.0,177.13614401931642
deopt_unique_reasons,0.0,4.0,0.7356622520751313
deopt_ratio,0.0,744.667,59.04635056160522
log_kb,0.0,4882.0,788.3754794920238
map_create_count,0.0,5181.0,642.5528180894631
bucket_string_count,0.0,86.0,7.819927227424178
elem_kind_holey,0.0,5142.0,661.9925232718006
instance_size_max,0.0,1218.0,88.48115739385912
back_pointer_is_null,0.0,4463.0,441.8592133762811
non_extensible_flag,0.0,197.0,17.788116387830954
bucket_misc_count,0.0,5057.0,650.8482966210736
bucket_collection_count,0.0,55.0,5.5503930050895125
bucket_array_count,0.0,230.0,20.48386115431338
bucket_weak_count,0.0,20.0,1.9936009404632857
bucket_handler_count,0.0,39.0,3.551535805241102
bucket_dictionary_count,0.0,34.0,3.018663913176641
bucket_code_count,0.0,9.0,0.8175197294748101
elem_kind_shared,0.0,4.0,0.40487043613743434
elem_kind_slow,0.0,14.0,1.5732518576284114
bucket_context_count,0.0,60.0,4.686297944485444
elem_kind_typed,0.0,137.0,10.631235438334855
elem_kind_misc,0.0,521.0,41.17254146306522
elem_kind_double,0.0,6.0,0.5117051983467886
elem_kind_args,0.0,6.0,0.46319864146014234
unique_map_types,0.0,333.0,51.48767555462174
max_descriptor_array_size,0.0,200.0,19.09529690328318
total_ic_count,0.0,2309.0,258.67939834492984
load_ic_count,0.0,774.0,128.45700592969843
store_ic_count,0.0,1538.0,179.10258470791706
megamorphic_ics,0.0,2188.0,218.3479437417789
polymorphic_ics,0.0,30.0,3.190000098578497
monomorphic_ics,0.0,252.0,41.682816709298244
prototype_failure_ics,0.0,246.0,29.0317119601863
ic_state_transitions,0.0,258.0,43.47114521752752
ic_slow_stub_count,0.0,4.0,0.5533405942377901
polymorphic_in_optimized_func_count,0.0,0.0,0.0
ic_triggered_deopts,0.0,0.0,0.0
target,1.0,1.0,0.0
recursive_iife_depth,0.0,13.0,1.3868719266551592
wasm_bytes_len,0.0,2000561.0,158647.21104467826
num_exported_funcs,0.0,18.0,1.6447004005868269
builtins_declared_count,0.0,0.0,0.0
exception_suppressed_code_depth,0.0,11.0,2.0700840538030643
hot_loop_count,0.0,5.0,0.5458078578197915
nested_loop_or_recursion,0.0,3.0,0.586719786841755
function_hotness,0.0,5.0,0.7234403735254566
type_diversion_var,0.0,5.0,0.6947549925274005
type_diversion_func_args,0.0,32.0,3.3740723617322197
object_shape_mutation,0.0,4.0,0.3172206342872575
array_bounds_manipulation,0.0,133.0,14.909794311255563
typedarray_dv_usage,0.0,1.0,0.2932241728984986
gc_stress_pattern,0.0,1.0,0.3253971259046561
exception_handling,0.0,1.0,0.4750774577650708
use_of_proxy_reflect,0.0,1.0,0.2842633784688209
use_of_eval_function,0.0,1.0,0.23181406284456813
api_sort_regex_builtin,0.0,0.0,0.0
control_flow_graph_blocks,0.0,211.0,18.31722519364442
control_flow_max_nesting,0.0,9.0,1.528098421648008
gc_invocations,0.0,9.0,0.8607811524083074
function_complexity_score,0.0,73.0,12.244191654866736
debugprint_call_count,0.0,3.0,0.39289526664254365
