ref_name,date
6.6.353,2018-02-28
6.7.213,2018-03-30
6.8.117,2018-04-30
6.9.53,2018-05-31
7.0.112,2018-07-31
7.1.3,2018-08-31
7.1.218,2018-09-30
7.2.211,2018-10-31
7.3.258,2018-12-31
7.4.46,2019-01-31
7.4.256,2019-02-28
7.5.149,2019-03-31
7.6.75,2019-04-30
7.6.296.1,2019-05-29
7.7.166,2019-06-28
7.8.45,2019-07-31
7.8.242,2019-08-31
7.9.162.1,2019-09-30
8.0.131,2019-10-31
8.0.418,2019-11-29
8.1.81,2019-12-31
8.1.306,2020-01-30
8.2.221,2020-02-29
8.3.110,2020-03-31
8.4.261,2020-04-30
8.5.74,2020-05-31
8.6.28,2020-06-30
8.6.310,2020-07-31
8.7.37,2020-08-29
8.7.240,2020-09-30
8.8.214,2020-10-31
8.9.200,2020-12-31
9.0.102,2021-01-31
9.1.1,2021-02-26
9.1.230,2021-03-31
9.2.131,2021-04-30
9.3.38,2021-05-31
9.3.262,2021-06-30
9.4.87,2021-07-31
9.5.99,2021-08-31
9.6.148,2021-09-30
9.7.84,2021-10-29
9.8.123,2021-11-30
9.9.47,2021-12-31
10.0.53,2022-01-31
10.1.42,2022-02-28
10.2.51,2022-03-31
10.3.91,2022-04-29
10.4.101,2022-05-31
10.5.111,2022-06-30
10.6.68,2022-07-30
10.7.81,2022-08-31
10.8.92,2022-09-30
10.9.129,2022-10-31
11.0.140,2022-11-30
11.1.92,2022-12-31
11.2.31,2023-01-31
11.3.43,2023-02-28
11.4.45,2023-03-31
11.5.10,2023-04-30
11.6.41,2023-05-31
11.7.68,2023-06-30
11.7.359.1,2023-07-31
11.8.149,2023-08-31
11.9.168,2023-09-30
12.1.22,2023-10-31
12.1.271,2023-11-30
12.2.156,2023-12-31
12.3.91,2024-01-31
12.4.126,2024-02-29
12.5.129,2024-03-29
12.6.144,2024-04-30
12.7.173,2024-05-31
12.8.168,2024-06-29
12.9.73.1,2024-07-31
13.0.136,2024-08-31
13.1.122,2024-09-30
13.2.113,2024-10-31
13.3.206,2024-11-29
13.3.410,2024-12-31
13.4.111,2025-01-31
13.5.208,2025-02-28
13.7.5,2025-03-31
13.8.29,2025-04-30
13.9.60,2025-05-31
14.0.78,2025-06-30
14.0.299,2025-07-23
